id;reason;place;answerable;admission_date;departure_date;visitor_id
1;Mobility;hard drive Course Corporate;Shoes Berkshire online;2020-03-07T10:52:55;2020-03-07T12:31:21;1
2;invoice;interface parse;Bulgaria bandwidth invoice;2020-03-07T04:19:32;2020-03-07T21:06:20;2
3;multi-byte;Sports;applications;2020-03-07T10:19:22;2020-03-07T19:54:08;3
4;harness COM Books;Agent Ethiopia brand;Comoros hack;2020-03-07T05:55:36;2020-03-07T07:38:18;4
5;technologies human-resource;knowledge user Lao People's Democratic Republic;sky blue Canadian Dollar virtual;2020-03-07T09:47:44;2020-03-07T06:15:40;5
6;Representative Movies;indigo;silver;2020-03-07T20:59:24;2020-03-07T17:35:51;6
7;CSS Analyst Personal Loan Account;Mississippi back up withdrawal;Savings Account Human;2020-03-07T15:31:54;2020-03-08T00:45:36;7
8;Swiss Franc compressing navigating;yellow SSL Plaza;enable primary Vermont;2020-03-07T15:55:25;2020-03-07T02:24:06;8
9;Danish Krone Pants XML;static Web backing up;budgetary management port;2020-03-07T17:21:55;2020-03-08T00:56:23;9
10;Movies;compress aggregate;Cheese;2020-03-07T04:50:43;2020-03-07T07:30:02;10
